,SalePrice
728,11
729,103
730,2365
731,1875
732,2225
733,1314
734,108
735,163
736,935
737,2399
738,179
739,19
740,132
741,142
742,179
743,175
744,18
745,2998
746,236
747,265979
748,2604
749,98
750,965
751,162
752,217
753,2755
754,156
755,1725
756,212
757,1589
758,1794
759,29
760,1275
761,1
762,2152
763,337
764,27
765,264132
766,1965
767,16
768,216837
769,538
770,1349
771,102
772,107
773,1145
774,395
775,162
776,2215
777,1425
778,144
779,135
780,176
781,1759
782,1871
783,1655
784,128
785,1615
786,139
787,233
788,1079
789,1875
790,1602
791,1468
792,26979
793,225
794,1945
795,171
796,1435
797,11
798,485
799,175
800,2
801,1099
802,189
803,582933
804,118
805,22768
806,1355
807,2235
808,15995
809,106
810,181
811,1445
812,55993
813,1579
814,116
815,2249
816,137
817,271
818,155
819,224
820,183
821,93
822,225
823,1395
824,2326
825,385
826,1095
827,189
828,185
829,1474
830,166
831,151
832,237
833,167
834,13995
835,128
836,1535
837,1
838,144
839,1305
840,14
841,1575
842,1749
843,141
844,1539
845,171
846,213
847,1335
848,24
849,187
850,1315
851,215
852,164
853,158
854,17
855,127
856,147
857,174
858,152
859,25
860,18995
861,1315
862,152
863,1325
864,25058
865,1485
866,2489
867,129
868,169
869,236
870,1095
871,2005
872,116
873,133
874,665
875,303477
876,13225
877,35
878,148
879,1365
880,157
881,1875
882,178
883,1185
884,1
885,3289
886,145
887,1355
888,268
889,1495
890,1229
891,1725
892,1545
893,165
894,118858
895,14
896,1065
897,142953
898,611657
899,135
900,11
901,153
902,18
903,24
904,1255
905,128
906,255
907,25
908,131
909,174
910,1543
911,1435
912,88
913,145
914,173733
915,75
916,35311
917,135
918,238
919,1765
920,201
921,1459
922,16999
923,193
924,2075
925,175
926,285
927,176
928,2365
929,222
930,201
931,1175
932,32
933,19
934,242
935,799
936,1849
937,253
938,239799
939,2444
940,1509
941,214
942,15
943,143
944,1375
945,1249
946,143
947,27
948,1925
949,1975
950,129
951,1199
952,1339
953,172
954,1275
955,145
956,124
957,132
958,185
959,155
960,1165
961,272
962,155
963,239
964,2149
965,1789
966,16
967,135
968,379
969,14
970,135
971,173
972,995
973,182
974,1675
975,165
976,855
977,1999
978,11
979,139
980,1784
981,336
982,159895
983,2559
984,126
985,125
986,117
987,395192
988,195
989,197
990,348
991,168
992,187
993,1739
994,3375
995,1216
996,1365
997,185
998,91
999,206
1000,82
1001,86
1002,232
1003,136905
1004,181
1005,1499
1006,1635
1007,88
1008,24
1009,102
1010,135
1011,1
1012,165
1013,85
1014,1192
1015,227
1016,203
1017,1875
1018,16
1019,21349
1020,176
1021,194
1022,87
1023,191
1024,287
1025,1125
1026,1675
1027,293077
1028,105
1029,118
1030,16
1031,197
1032,31
1033,23
1034,11975
1035,84
1036,3155
1037,287
1038,97
1039,8
1040,155
1041,173
1042,196
1043,26228
1044,278
1045,1396
1046,556581
1047,145
1048,115
1049,849
1050,176485
1051,200141
1052,165
1053,1445
1054,255
1055,18
1056,18585
1057,248
1058,335
1059,22
1060,2135
1061,81
1062,9
1063,1105
1064,154
1065,328
1066,178
1067,1679
1068,1514
1069,135
1070,135
1071,154
1072,915
1073,1595
1074,194
1075,2195
1076,17
1077,1388
1078,1559
1079,126
1080,145
1081,133
1082,192
1083,16
1084,1875
1085,147
1086,835
1087,252
1088,1375
1089,197
1090,929
1091,16
1092,1365
1093,146
1094,129
1095,176432
1096,127
1097,17
1098,128
1099,157
1100,6
1101,1195
1102,135
1103,1595
1104,106
1105,325
1106,1799
1107,274725
1108,181
1109,28
1110,188
1111,205
1112,1299
1113,1345
1114,117
1115,318
1116,1841
1117,13
1118,14
1119,1337
1120,1184
1121,2129
1122,112
1123,118
1124,1639
1125,115
1126,174
1127,259
1128,215
1129,14
1130,135
1131,935
1132,1175
1133,2395
1134,169
1135,102
1136,119
1137,94
1138,196
1139,144
1140,139
1141,1975
1142,42487
1143,8
1144,8
1145,149
1146,18
1147,1745
1148,1169
1149,143
1150,124
1151,1499
1152,23
1153,1205
1154,2018
1155,218
1156,1799
1157,23
1158,235128
1159,185
1160,146
1161,224
1162,129
1163,108959
1164,194
1165,23317
1166,24535
1167,173
1168,235
1169,625
1170,171
1171,163
1172,1719
1173,2005
1174,239
1175,285
1176,1195
1177,115
1178,1549
1179,93
1180,25
1181,3925
1182,745
1183,12
1184,1867
1185,1049
1186,95
1187,262
1188,195
1189,189
1190,168
1191,174
1192,125
1193,165
1194,158
1195,176
1196,21921
1197,144
1198,178
1199,148
1200,11605
1201,1979
1202,117
1203,213
1204,1535
1205,2719
1206,107
1207,2
1208,14
1209,29
1210,189
1211,164
1212,113
1213,145
1214,1345
1215,125
1216,112
1217,229456
1218,805
1219,915
1220,115
1221,134
1222,143
1223,1379
1224,184
1225,145
1226,214
1227,147
1228,367294
1229,127
1230,19
1231,1325
1232,1018
1233,142
1234,13
1235,138887
1236,1755
1237,195
1238,1425
1239,2659
1240,2249
1241,248328
1242,17
1243,465
1244,23
1245,178
1246,1865
1247,1699
1248,1295
1249,119
1250,244
1251,17175
1252,13
1253,294
1254,1654
1255,1275
1256,3015
1257,999
1258,19
1259,151
1260,181
1261,1289
1262,1615
1263,1805
1264,181
1265,1839
1266,122
1267,3785
1268,381
1269,144
1270,26
1271,18575
1272,137
1273,177
1274,139
1275,137
1276,162
1277,1979
1278,237
1279,684
1280,227
1281,18
1282,1505
1283,139
1284,169
1285,1325
1286,143
1287,19
1288,278
1289,281
1290,1805
1291,1195
1292,1075
1293,1629
1294,115
1295,1385
1296,155
1297,14
1298,16
1299,154
1300,225
1301,1775
1302,29
1303,232
1304,13
1305,325
1306,2025
1307,138
1308,147
1309,1792
1310,335
1311,203
1312,302
1313,333168
1314,119
1315,2069
1316,295493
1317,2089
1318,275
1319,111
1320,1565
1321,725
1322,19
1323,825
1324,147
1325,55
1326,79
1327,1305
1328,256
1329,1765
1330,227
1331,1325
1332,1
1333,1255
1334,125
1335,1679
1336,135
1337,525
1338,2
1339,1285
1340,123
1341,155
1342,2285
1343,177
1344,155835
1345,1085
1346,2625
1347,283463
1348,215
1349,122
1350,2
1351,171
1352,1349
1353,41
1354,235
1355,17
1356,11
1357,1499
1358,1775
1359,315
1360,189
1361,26
1362,1049
1363,156932
1364,144152
1365,216
1366,193
1367,127
1368,144
1369,232
1370,105
1371,1655
1372,2743
1373,4665
1374,25
1375,239
1376,91
1377,117
1378,83
1379,1675
1380,585
1381,2375
1382,157
1383,112
1384,105
1385,1255
1386,25
1387,136
1388,3775
1389,131
1390,235
1391,124
1392,123
1393,163
1394,246578
1395,281213
1396,16
1397,1375
1398,138
1399,13745
1400,12
1401,193
1402,193879
1403,282922
1404,105
1405,275
1406,133
1407,112
1408,1255
1409,215
1410,23
1411,14
1412,9
1413,257
1414,207
1415,1759
1416,1225
1417,34
1418,124
1419,223
1420,1799
1421,1275
1422,1365
1423,27497
1424,144
1425,142
1426,271
1427,14
1428,119
1429,1829
1430,19214
1431,14375
1432,645
1433,1865
1434,16
1435,174
1436,1205
1437,394617
1438,1497
1439,197
1440,191
1441,1493
1442,31
1443,121
1444,1796
1445,129
1446,1579
1447,24
1448,112
1449,92
1450,136
1451,28709
1452,145
1453,845
1454,185
1455,175
1456,21
1457,2665
1458,142125
1459,1475
